"Name in English","Countries","Degree of endangerment"
"Ute (Colorado, Southern Ute)","United States of America","Severely endangered"
"Vehes","Papua New Guinea","Severely endangered"
"Wik Ngathan","Australia","Definitely endangered"
"Xokleng","Brazil","Critically endangered"
"Yangkam","Nigeria","Critically endangered"
"Yarawata","Papua New Guinea","Severely endangered"
"O'odham (Mexico)","Mexico","Definitely endangered"
"Samosa","Papua New Guinea","Severely endangered"
"Mindiri","Papua New Guinea","Severely endangered"
"Usu","Papua New Guinea","Severely endangered"
"Iteri","Papua New Guinea","Severely endangered"
"Ngarinyin","Australia","Definitely endangered"
"Repanbitip","Vanuatu","Definitely endangered"
"Tofanma","Indonesia","Vulnerable"
"Taiap","Papua New Guinea","Severely endangered"
"Kusunda","Nepal","Critically endangered"
"Patamona (Brazil)","Brazil","Vulnerable"
"Xiri","South Africa","Critically endangered"
"Narau","Indonesia","Severely endangered"
"Ak","Papua New Guinea","Severely endangered"
"Araona","Bolivia (Plurinational State of)","Severely endangered"
"Ari","Papua New Guinea","Severely endangered"
"Assiniboine (Canada)","Canada","Critically endangered"
"Dorro","Papua New Guinea","Severely endangered"
"Gong","Thailand","Severely endangered"
"Itik","Indonesia","Vulnerable"
"Mari","Papua New Guinea","Severely endangered"
"Pwapwa","New Caledonia (France)","Severely endangered"
"Somm","Papua New Guinea","Definitely endangered"
"Tobati","Indonesia","Severely endangered"
"Moré","Bolivia (Plurinational State of)","Critically endangered"
"Mores","Vanuatu","Severely endangered"
"Musan","Papua New Guinea","Severely endangered"
"Papi","Papua New Guinea","Severely endangered"
"Sarcee","Canada","Critically endangered"
"Sekani","Canada","Critically endangered"
"Arawun","Papua New Guinea","Severely endangered"
"Siriano (Brazil)","Brazil","Vulnerable"
"Teko","Mexico","Severely endangered"
"Anus","Indonesia","Severely endangered"
"Awera","Indonesia","Vulnerable"
"Boruca","Costa Rica","Critically endangered"
"Doutai","Indonesia","Severely endangered"
"East Cape Yupik","Russian Federation","Critically endangered"
"Iresim","Indonesia","Severely endangered"
"Mafea","Vanuatu","Definitely endangered"
"Vilamovian","Poland","Severely endangered"
"Western Chocho","Mexico","Severely endangered"
"Yankunytjatjara","Australia","Definitely endangered"
"Yanyuwa","Australia","Severely endangered"
"Yapunda","Papua New Guinea","Severely endangered"
"Bothar","Papua New Guinea","Severely endangered"
"Kari'ña (Brazil)","Brazil","Definitely endangered"
"Ritharrngu","Australia","Definitely endangered"
"Northern Straits Salish","United States of America","Critically endangered"
"Sumariup","Papua New Guinea","Severely endangered"
"Ixil (Mexico)","Mexico","Critically endangered"
"Orok","Russian Federation","Critically endangered"
"Carapana (Brazil)","Brazil","Severely endangered"
"Yan-nhangu","Australia","Definitely endangered"
"Atemble","Papua New Guinea","Definitely endangered"
"Bagupi","Papua New Guinea","Definitely endangered"
"Carapana (Colombia)","Colombia","Definitely endangered"
"Gooniyandi","Australia","Severely endangered"
"Gurrgoni","Australia","Vulnerable"
"Kija","Australia","Severely endangered"
"Montana Salish","United States of America","Critically endangered"
"Ngangikurunggurr","Australia","Severely endangered"
"Olultecan","Mexico","Severely endangered"
"Senaya","Iran (Islamic Republic of)","Critically endangered"
"Tahltan","Canada","Critically endangered"
"Tembé","Brazil","Severely endangered"
"Mosimo","Papua New Guinea","Severely endangered"
"Tapayuna","Brazil","Severely endangered"
"Bepour","Papua New Guinea","Severely endangered"
"Faita","Papua New Guinea","Severely endangered"
"Teribe (Costa Rica)","Costa Rica","Critically endangered"
"Kiliwa","Mexico","Critically endangered"
"Moere","Papua New Guinea","Severely endangered"
"Baure","Bolivia (Plurinational State of)","Critically endangered"
"Southern Haida","Canada","Critically endangered"
"Tlingit (Canada)","Canada","Critically endangered"
"Upper Tanana (United States of America)","United States of America","Critically endangered"
"Zapotec of Asunción Tlacolulita","Mexico","Critically endangered"
"Trumai","Brazil","Critically endangered"
"Arabela","Peru","Severely endangered"
"Arha","New Caledonia (France)","Critically endangered"
"Banjima","Australia","Severely endangered"
"Bella Coola","Canada","Critically endangered"
"Budong-Budong","Indonesia","Critically endangered"
"Bulgebi","Papua New Guinea","Definitely endangered"
"Chiquitano (Brazil)","Brazil","Critically endangered"
"Forest Yukagir","Russian Federation","Critically endangered"
"Gorovu","Papua New Guinea","Severely endangered"
"Iduh (Lao PDR)","Lao People's Democratic Republic","Critically endangered"
"Karaim (Lithuania)","Lithuania","Severely endangered"
"Kasong","Cambodia, Thailand","Critically endangered"
"Kayupulau","Indonesia","Critically endangered"
"Lolak","Indonesia","Critically endangered"
"Maku'a","Timor-Leste","Critically endangered"
"Makurap","Brazil","Severely endangered"
"Miriwoong","Australia","Critically endangered"
"Moraori","Indonesia","Severely endangered"
"Nakkara","Australia","Severely endangered"
"Ngarinman","Australia","Severely endangered"
"Norfolk-Pitcairn (Pitcairn)","Pitcairn  (U.K.)","Vulnerable"
"Omaha-Ponca","United States of America","Critically endangered"
"Omotik","Kenya","Critically endangered"
"Onge","India","Critically endangered"
"Patua","China","Critically endangered"
"Paulohi","Indonesia","Critically endangered"
"Potawatomi (Kansas)","United States of America","Critically endangered"
"Potawatomi (Michigan)","United States of America","Critically endangered"
"Potawatomi (Oklahoma)","United States of America","Critically endangered"
"Potawatomi (Wisconsin)","United States of America","Critically endangered"
"Salas","Indonesia","Severely endangered"
"Samray","Cambodia, Thailand","Critically endangered"
"Sapé","Venezuela (Bolivarian Republic of)","Critically endangered"
"Sentilese","India","Critically endangered"
"Sian","Malaysia","Severely endangered"
"Tambotalo","Vanuatu","Severely endangered"
"Tanacross","United States of America","Critically endangered"
"Tanaina","United States of America","Severely endangered"
"Tanimbili","Solomon Islands","Severely endangered"
"Warumungu","Australia","Severely endangered"
"Zapotec of San Felipe Tejalapan","Mexico","Critically endangered"
"Tench","Papua New Guinea","Critically endangered"
"Mudburra","Australia","Severely endangered"
"Nunggubuyu","Australia","Severely endangered"
"Dumun","Papua New Guinea","Critically endangered"
"Kudu-Camo","Nigeria","Critically endangered"
"Asumboa","Solomon Islands","Severely endangered"
"Bunuba","Australia","Severely endangered"
"Chamacoco","Brazil, Paraguay","Critically endangered"
"Garrwa","Australia","Severely endangered"
"Gumbaynggirr","Australia","Critically endangered"
"Maremgi","Indonesia","Definitely endangered"
"Mono (Western)","United States of America","Critically endangered"
"Southern Tutchone","Canada","Critically endangered"
"Tipai (United States of America)","United States of America","Severely endangered"
"Tofa","Russian Federation","Critically endangered"
"Udege","Russian Federation","Critically endangered"
"Yoki","Indonesia","Severely endangered"
"Noy","Chad","Critically endangered"
"Chulym Turk","Russian Federation","Critically endangered"
"Kapori","Indonesia","Critically endangered"
"Kaqchikel (Mexico)","Mexico","Critically endangered"
"Menominee","United States of America","Critically endangered"
"Quechua of Pacaraos","Peru","Critically endangered"
"Turaka","Papua New Guinea","Critically endangered"
"Barasana (Brazil)","Brazil","Severely endangered"
"Bilakura","Papua New Guinea","Critically endangered"
"Macuna (Brazil)","Brazil","Vulnerable"
"Jarawa","India","Critically endangered"
"Kowaki","Papua New Guinea","Critically endangered"
"Kri","Lao People's Democratic Republic","Severely endangered"
"Mawak","Papua New Guinea","Critically endangered"
"Alabat Island Agta","Philippines","Critically endangered"
"Amahai","Indonesia","Critically endangered"
"Bardi","Australia","Severely endangered"
"Cahuilla","United States of America","Critically endangered"
"Cambap","Cameroon","Critically endangered"
"Carijona","Colombia","Critically endangered"
"Chintaw","China","Critically endangered"
"Comox/Sliammon","Canada","Critically endangered"
"Djeoromitxi","Brazil","Severely endangered"
"Duriankere","Indonesia","Critically endangered"
"Goundo","Chad","Critically endangered"
"Kawucha","Papua New Guinea","Critically endangered"
"Kwerisa","Indonesia","Critically endangered"
"Mono (Eastern)","United States of America","Critically endangered"
"Ngalkbun","Australia","Severely endangered"
"Punan Batu","Malaysia","Critically endangered"
"Rama","Nicaragua","Critically endangered"
"Sia Pedee","Ecuador","Critically endangered"
"Ske","Vanuatu","Severely endangered"
"Valley Yokuts","United States of America","Severely endangered"
"Warnman","Australia","Severely endangered"
"Wik Ngencherr","Australia","Severely endangered"
"Wiradjuri","Australia","Critically endangered"
"Malinaltepec Tlapanec","Mexico","Vulnerable"
"Ahtna","United States of America","Critically endangered"
"Bieria","Vanuatu","Critically endangered"
"Caddo","United States of America","Critically endangered"
"Columbian","United States of America","Critically endangered"
"Iquito","Peru","Critically endangered"
"Kwazá","Brazil","Critically endangered"
"Marrithiyel","Australia","Critically endangered"
"Massep","Indonesia","Critically endangered"
"Mor","Indonesia","Severely endangered"
"Pisamira","Colombia","Critically endangered"
"Sakurabiat","Brazil","Severely endangered"
"Surel","Nepal","Critically endangered"
"Upper Kuskokwim","United States of America","Critically endangered"
"Zumaya","Cameroon","Critically endangered"
"Kashaya","United States of America","Critically endangered"
"Kavalan","China","Critically endangered"
"Wardaman","Australia","Severely endangered"
"Washo","United States of America","Severely endangered"
"Kuku Yalanji","Australia","Severely endangered"
"Sām","Nepal","Severely endangered"
"Southwestern Tlapanec","Mexico","Vulnerable"
"Alawa","Australia","Critically endangered"
"Tobian","Palau","Critically endangered"
"Bara (Brazil)","Brazil","Vulnerable"
"Ixcatec","Mexico","Critically endangered"
"Añu","Venezuela (Bolivarian Republic of)","Critically endangered"
"Barzani Jewish Neo-Aramaic (Israel)","Israel","Critically endangered"
"Bom","Sierra Leone","Severely endangered"
"Bundjalung","Australia","Severely endangered"
"Chung (Cambodia)","Cambodia","Critically endangered"
"Dusner","Indonesia","Critically endangered"
"Forest Enets","Russian Federation","Critically endangered"
"Foya","Indonesia","Critically endangered"
"Hermit","Papua New Guinea","Critically endangered"
"Jawoyn","Australia","Severely endangered"
"Kamasa","Papua New Guinea","Critically endangered"
"Kanakanabu","China","Critically endangered"
"Kembra","Indonesia","Critically endangered"
"Kilen","China, Russian Federation","Critically endangered"
"Kim","Sierra Leone","Critically endangered"
"Koko Bera","Australia","Severely endangered"
"Kulina Páno","Brazil","Severely endangered"
"Leco","Bolivia (Plurinational State of)","Critically endangered"
"Loun","Indonesia","Critically endangered"
"Mander","Indonesia","Critically endangered"
"Mangarla","Australia","Critically endangered"
"Maringarr","Australia","Critically endangered"
"Nataoran","China","Critically endangered"
"Nez Perce","United States of America","Critically endangered"
"Nisvai","Vanuatu","Critically endangered"
"Nyamal","Australia","Severely endangered"
"Nyikina","Australia","Severely endangered"
"Panamint","United States of America","Critically endangered"
"Pite Saami","Norway, Sweden","Critically endangered"
"Qawasqar","Chile","Critically endangered"
"Red Gelao (Viet Nam)","Viet Nam","Critically endangered"
"Somyev","Cameroon, Nigeria","Critically endangered"
"Ume Saami","Sweden","Critically endangered"
"Usku","Indonesia","Critically endangered"
"Vote","Russian Federation","Critically endangered"
"Wajarri","Australia","Severely endangered"
"Wambaya","Australia","Critically endangered"
"Warekena (Brazil)","Brazil","Critically endangered"
"White Gelao (Viet Nam)","Viet Nam","Severely endangered"
"Mixtec of Tlaltempan","Mexico","Definitely endangered"
"Uruak","Venezuela (Bolivarian Republic of)","Critically endangered"
"Pacahuara","Bolivia (Plurinational State of)","Critically endangered"
"Ririo","Solomon Islands","Critically endangered"
"Ava-Canoeiro","Brazil","Critically endangered"
"Chorotega","Costa Rica","Critically endangered"
"Ainu (Hokkaido)","Japan","Critically endangered"
"Jaminjung","Australia","Severely endangered"
"Mwesen","Vanuatu","Critically endangered"
"Sechelt","Canada","Critically endangered"
"Tanana","United States of America","Critically endangered"
"Ingalik","United States of America","Critically endangered"
"Jingulu","Australia","Severely endangered"
"Zapotec of Mixtepe","Mexico","Critically endangered"
"Woria","Indonesia","Critically endangered"
"Aruá","Brazil","Severely endangered"
"Han (United States of America)","United States of America","Critically endangered"
"Hupa","United States of America","Critically endangered"
"Karuk","United States of America","Severely endangered"
"Makah","United States of America","Critically endangered"
"Ngaatjatjara","Australia","Severely endangered"
"Ngaliwuru","Australia","Critically endangered"
"Ofayé","Brazil","Critically endangered"
"Umpila","Australia","Severely endangered"
"Yurok","United States of America","Critically endangered"
"Kinikinau","Brazil","Critically endangered"
"Wagiman","Australia","Severely endangered"
"Achumawi","United States of America","Critically endangered"
"Arho","New Caledonia (France)","Critically endangered"
"Arikara","United States of America","Critically endangered"
"Ayizi","China","Critically endangered"
"Bangsa","Vanuatu","Critically endangered"
"Ch'orti' (Honduras)","Honduras","Critically endangered"
"Chung (Thailand)","Thailand","Critically endangered"
"Copper Island Aleut","Russian Federation","Critically endangered"
"Gros Ventre","United States of America","Critically endangered"
"Gweno","United Republic of Tanzania","Critically endangered"
"Hoti","Indonesia","Critically endangered"
"Hulung","Indonesia","Critically endangered"
"Ibu","Indonesia","Critically endangered"
"Iranxe","Brazil","Critically endangered"
"Kamarian","Indonesia","Critically endangered"
"Karajarri","Australia","Critically endangered"
"Karipuna","Brazil","Definitely endangered"
"Katawixi","Brazil","Critically endangered"
"Kawaiisu","United States of America","Critically endangered"
"Khövsgöl Uryangkhay","Mongolia","Critically endangered"
"Krenak","Brazil","Critically endangered"
"Kurrama","Australia","Critically endangered"
"Lardil","Australia","Critically endangered"
"Lom","Indonesia","Critically endangered"
"Lorediakarkar","Vanuatu","Critically endangered"
"Madngele","Australia","Critically endangered"
"Malak Malak","Australia","Critically endangered"
"Manchu (Amur)","China","Critically endangered"
"Manchu (Nonni)","China","Critically endangered"
"Mandan","United States of America","Critically endangered"
"Marrisyefin","Australia","Critically endangered"
"Massalat","Chad","Critically endangered"
"Matanvat","Vanuatu","Critically endangered"
"Matipu","Brazil","Critically endangered"
"Mawayana (Brazil)","Brazil, Suriname","Critically endangered"
"Munsee (Canada)","Canada","Critically endangered"
"Naati","Vanuatu","Critically endangered"
"Ngardi","Australia","Critically endangered"
"Ngbinda","Democratic Republic of the Congo","Critically endangered"
"Northern Paiute (Idaho)","United States of America","Critically endangered"
"Nusa Laut","Indonesia","Critically endangered"
"Oneida (Wisconsin)","United States of America","Critically endangered"
"Onondaga (New York)","United States of America","Critically endangered"
"Osage","United States of America","Critically endangered"
"Parintintin","Brazil","Critically endangered"
"Pawnee","United States of America","Critically endangered"
"Puari","Papua New Guinea","Critically endangered"
"Rembarrnga","Australia","Critically endangered"
"Sene","Papua New Guinea","Critically endangered"
"Sowa","Vanuatu","Critically endangered"
"Susuami","Papua New Guinea","Critically endangered"
"Taap","Papua New Guinea","Critically endangered"
"Tape","Vanuatu","Critically endangered"
"Ter Saami","Russian Federation","Critically endangered"
"Thao","China","Critically endangered"
"Tule-Kaweah Yokuts","United States of America","Critically endangered"
"Tundra Enets","Russian Federation","Critically endangered"
"Wichita","United States of America","Critically endangered"
"Xambioá","Brazil","Critically endangered"
"Yawalapiti","Brazil","Critically endangered"
"Yiiji","Australia","Critically endangered"
"Arára Shawãdáwa","Brazil","Critically endangered"
"Kuuku Ya'u","Australia","Critically endangered"
"Ngandi","Australia","Critically endangered"
"Ngarluma","Australia","Critically endangered"
"Zaparo","Ecuador, Peru","Critically endangered"
"Ongota","Ethiopia","Critically endangered"
"Ajuru","Brazil","Severely endangered"
"Araki","Vanuatu","Critically endangered"
"Ayapanec","Mexico","Critically endangered"
"Busuu","Cameroon","Critically endangered"
"Chamicuro","Peru","Critically endangered"
"Dumi","Nepal","Critically endangered"
"Kayardild","Australia","Critically endangered"
"Munichi","Peru","Critically endangered"
"N|uu","South Africa","Critically endangered"
"Xetá","Brazil","Critically endangered"
"Kiksht","United States of America","Critically endangered"
"Makolkol","Papua New Guinea","Critically endangered"
"Akuntsu","Brazil","Critically endangered"
"Anambé","Brazil","Critically endangered"
"Arabana","Australia","Critically endangered"
"Ipai","United States of America","Critically endangered"
"Karaim (Western Ukraine)","Ukraine","Critically endangered"
"Kings River Yokuts","United States of America","Critically endangered"
"Korana","South Africa","Critically endangered"
"Mangarrayi","Australia","Critically endangered"
"Northern Sierra Miwok","United States of America","Critically endangered"
"Abaga","Papua New Guinea","Critically endangered"
"Aleut (Western, Commander Islands)","Russian Federation","Critically endangered"
"Aqaw Gelao","China","Critically endangered"
"Aveteian","Vanuatu","Critically endangered"
"Central Selkup","Russian Federation","Critically endangered"
"Cocama-Cocamilla (Brazil)","Brazil","Critically endangered"
"Dyirbal","Australia","Critically endangered"
"Gamilaraay","Australia","Critically endangered"
"Great andamanese","India","Critically endangered"
"Guató","Brazil","Critically endangered"
"Holikachuk","United States of America","Critically endangered"
"Iduh (Viet Nam)","Viet Nam","Critically endangered"
"Isarog Agta","Philippines","Critically endangered"
"Itonama","Bolivia (Plurinational State of)","Critically endangered"
"Juma","Brazil","Critically endangered"
"Kalispel","United States of America","Critically endangered"
"Kanoê","Brazil","Critically endangered"
"Liki","Indonesia","Critically endangered"
"Luiseño","United States of America","Critically endangered"
"Lushootseed","United States of America","Critically endangered"
"Manchurian Kirghiz","China","Critically endangered"
"Mansim","Indonesia","Critically endangered"
"Naman","Vanuatu","Critically endangered"
"Nasarian","Vanuatu","Critically endangered"
"Navwien","Vanuatu","Critically endangered"
"Ndai","Cameroon","Critically endangered"
"Ngalakan","Australia","Critically endangered"
"Nivat","Vanuatu","Critically endangered"
"Niviar","Vanuatu","Critically endangered"
"Olrat","Vanuatu","Critically endangered"
"Oro Win","Brazil","Critically endangered"
"Paunaca","Bolivia (Plurinational State of)","Critically endangered"
"Resígaro","Peru","Critically endangered"
"Sorsorian","Vanuatu","Critically endangered"
"Southern Selkup","Russian Federation","Critically endangered"
"Tuzantec","Mexico","Critically endangered"
"Umbrul","Vanuatu","Critically endangered"
"Vano","Solomon Islands","Critically endangered"
"Wunambal","Australia","Critically endangered"
"Yuchi","United States of America","Critically endangered"
"Bonerif","Indonesia","Critically endangered"
"Coeur d'Alene","United States of America","Critically endangered"
"Dharawal","Australia","Critically endangered"
"Guranalum","Papua New Guinea","Critically endangered"
"Lengilu","Indonesia","Critically endangered"
"Njerep","Cameroon","Critically endangered"
"Ouma","Papua New Guinea","Critically endangered"
"Paakantyi","Australia","Critically endangered"
"Saponi","Indonesia","Critically endangered"
"Tanema","Solomon Islands","Critically endangered"
"Tehuelche","Argentina","Critically endangered"
"Totoró","Colombia","Critically endangered"
"Waanyi","Australia","Critically endangered"
"Worrorra","Australia","Critically endangered"
"Awakatek (Mexico)","Mexico","Critically endangered"
"Baldemu","Cameroon","Critically endangered"
"Bung","Cameroon","Critically endangered"
"Canichana","Bolivia (Plurinational State of)","Extinct"
"Central Pomo","United States of America","Critically endangered"
"Central Sierra Miwok","United States of America","Critically endangered"
"Chemehuevi","United States of America","Critically endangered"
"Kiowa Apache","United States of America","Critically endangered"
"Konkow","United States of America","Critically endangered"
"Lake Miwok","United States of America","Critically endangered"
"Mabiri","Chad","Critically endangered"
"Mescalero-Chiricahua Apache (Oklahoma)","United States of America","Critically endangered"
"Northern Pomo","United States of America","Critically endangered"
"Sabanê","Brazil","Critically endangered"
"Southern Pomo","United States of America","Critically endangered"
"Southern Sierra Miwok","United States of America","Critically endangered"
"Tubatulabal","United States of America","Critically endangered"
"Tuscarora (United States of America)","United States of America","Critically endangered"
"Ura","Vanuatu","Critically endangered"
"Andoa (Peru)","Peru","Critically endangered"
"Arikapu","Brazil","Critically endangered"
"Aurê-Aurá","Brazil","Critically endangered"
"Baré (Brazil)","Brazil","Critically endangered"
"Cayuvava","Bolivia (Plurinational State of)","Critically endangered"
"Gajerrong","Australia","Critically endangered"
"Ganggalidda","Australia","Critically endangered"
"Guarasu","Brazil","Critically endangered"
"Klallam","United States of America","Critically endangered"
"Kujubim","Brazil","Critically endangered"
"Kunjen","Australia","Critically endangered"
"Kuruáya","Brazil","Critically endangered"
"Lemerig","Vanuatu","Critically endangered"
"Luri","Nigeria","Critically endangered"
"Maidu","United States of America","Critically endangered"
"Oneida (New York)","United States of America","Critically endangered"
"Poyanawa","Brazil","Critically endangered"
"Puruborá","Brazil","Critically endangered"
"Salamãy","Brazil","Critically endangered"
"Sambe","Nigeria","Critically endangered"
"Spokane","United States of America","Critically endangered"
"Tharkarri","Australia","Critically endangered"
"Vacacocha","Peru","Critically endangered"
"Wangaaybuwan","Australia","Critically endangered"
"Xipáya","Brazil","Critically endangered"
"Apiaká","Brazil","Critically endangered"
"Bikya","Cameroon","Critically endangered"
"Bishuo","Cameroon","Critically endangered"
"Chaná","Argentina","Critically endangered"
"Dampel","Indonesia","Critically endangered"
"Diahói","Brazil","Critically endangered"
"Kaixána","Brazil","Critically endangered"
"Lae","Papua New Guinea","Extinct"
"Laua","Papua New Guinea","Critically endangered"
"Patwin","United States of America","Critically endangered"
"Pazeh","China","Critically endangered"
"Pémono","Venezuela (Bolivarian Republic of)","Critically endangered"
"Taushiro","Peru","Critically endangered"
"Tinigua","Colombia","Critically endangered"
"Tolowa","United States of America","Critically endangered"
"Uru","Bolivia (Plurinational State of)","Extinct"
"Volow","Vanuatu","Critically endangered"
"Wintu-Nomlaki","United States of America","Critically endangered"
"Yahgan","Chile","Critically endangered"
"Yarawi","Papua New Guinea","Critically endangered"
"!Gan!ne","South Africa","Extinct"
"Aasax","United Republic of Tanzania","Extinct"
"Ahom","India","Extinct"
"Ainu (Kuril)","Russian Federation","Extinct"
"Ainu (Sakhalin)","Russian Federation","Extinct"
"Akkala Saami","Russian Federation","Extinct"
"Alderney French","United Kingdom of Great Britain and Northern Ireland","Extinct"
"Amanayé","Brazil","Extinct"
"Andoa (Ecuador)","Ecuador","Extinct"
"Andro","India","Extinct"
"Antoniano","United States of America","Extinct"
"Aore","Vanuatu","Extinct"
"Apolista","Bolivia (Plurinational State of)","Extinct"
"Arapaho (Oklahoma)","United States of America","Extinct"
"Arapáso","Brazil","Extinct"
"Aribwatsa","Papua New Guinea","Extinct"
"Arin","Russian Federation","Extinct"
"Arman","Russian Federation","Extinct"
"Arta","Philippines","Extinct"
"Atacameño","Argentina, Bolivia (Plurinational State of), Chile","Extinct"
"Atsugewi","United States of America","Extinct"
"Babuza","China","Extinct"
"Badala","Australia","Critically endangered"
"Baga Kalem","Guinea","Extinct"
"Baga Mboteni","Guinea","Critically endangered"
"Barbareño","United States of America","Extinct"
"Barzani Jewish Neo-Aramaic (Iraq)","Iraq","Extinct"
"Basay","China","Extinct"
"Baygo","Sudan","Extinct"
"Berakou","Chad","Extinct"
"Berti","Sudan","Extinct"
"Bina","Papua New Guinea","Extinct"
"Birgid","Sudan","Extinct"
"Boro","Ethiopia, Togo","Extinct"
"Cacaopera","Nicaragua","Extinct"
"Cape Khoekhoe","South Africa","Extinct"
"Cappadocian Greek (Turkey)","Turkey","Extinct"
"Catawba","United States of America","Extinct"
"Cayuga (Oklahoma)","United States of America","Extinct"
"Cayuse","United States of America","Extinct"
"Central Kalapuyan","United States of America","Extinct"
"Chairel","India","Extinct"
"Cholon","Peru","Extinct"
"Coptic","Egypt","Extinct"
"Cowlitz","United States of America","Extinct"
"Culle","Peru","Extinct"
"Cuman","Hungary","Extinct"
"Cupeño","United States of America","Extinct"
"Dalmatian","Croatia","Extinct"
"Deti","Botswana","Extinct"
"Dharug","Australia","Critically endangered"
"Dhurga","Australia","Critically endangered"
"Dicamay Agta","Philippines","Extinct"
"Dorasque","Panama","Extinct"
"Dororo","Solomon Islands","Extinct"
"Duli","Cameroon","Extinct"
"Dungidjau","Australia","Extinct"
"Dura","Nepal","Extinct"
"Eastern Abenaki","United States of America","Extinct"
"Eastern Kamchadal","Russian Federation","Extinct"
"Eastern Pomo","United States of America","Extinct"
"Eel River Athabaskan","United States of America","Extinct"
"Eliri","Sudan","Severely endangered"
"Elmolo","Kenya","Extinct"
"Eotile","Côte d'Ivoire","Extinct"
"Eyak","United States of America","Extinct"
"Gaagudju","Australia","Extinct"
"Gafat","Ethiopia","Extinct"
"Garífuna (Nicaragua)","Nicaragua","Critically endangered"
"Ge'ez","Ethiopia","Extinct"
"Getmata","Papua New Guinea","Extinct"
"Gey","Cameroon","Extinct"
"Gothic","Ukraine","Extinct"
"Guanche","Spain","Extinct"
"Gule","Sudan","Extinct"
"Guliguli","Solomon Islands","Extinct"
"Gününa Küne","Argentina","Extinct"
"Gyasumdo","Nepal","Definitely endangered"
"Hanis","United States of America","Extinct"
"Hoanya","China","Extinct"
"Homa","Sudan","Extinct"
"Horo","Chad","Extinct"
"Hpun","Myanmar","Extinct"
"Huitoto (Brazil)","Brazil","Extinct"
"Hukumina","Indonesia","Extinct"
"Huron-Wyandot (United States of America)","United States of America","Extinct"
"Ifo","Vanuatu","Extinct"
"Ineseño","United States of America","Extinct"
"Island Carib","Dominica","Extinct"
"Island Chumash","United States of America","Extinct"
"Jorá","Bolivia (Plurinational State of)","Critically endangered"
"Judeo-Berber (Morocco)","Morocco","Extinct"
"Kamas","Russian Federation","Extinct"
"Kamas Turk","Russian Federation","Extinct"
"Kaniet","Papua New Guinea","Extinct"
"Kansa","United States of America","Extinct"
"Karaim (Crimea)","Ukraine","Extinct"
"Karami","Papua New Guinea","Extinct"
"Karelian (Valday)","Russian Federation","Extinct"
"Katabaga","Philippines","Extinct"
"Kato","United States of America","Extinct"
"Kayeli","Indonesia","Extinct"
"Kazukuru","Solomon Islands","Extinct"
"Kede","Angola","Extinct"
"Kemi Saami","Finland","Extinct"
"Kenaboi","Malaysia","Extinct"
"Kerek","Russian Federation","Extinct"
"Ketangalan","China","Extinct"
"Khaccaḍ Bhoṭe","Nepal","Definitely endangered"
"Kilit","Azerbaijan","Extinct"
"Kinare","Kenya","Extinct"
"Klamath-Modoc","United States of America","Extinct"
"Konomihu","United States of America","Extinct"
"Kore","Kenya","Extinct"
"Kott","Russian Federation","Extinct"
"Krenjê","Brazil","Extinct"
"Krevin","Latvia","Extinct"
"Kulun","China","Extinct"
"Kurtjar","Australia","Extinct"
"Kw'adza","United Republic of Tanzania","Extinct"
"Kwadi","Angola","Extinct"
"Kwisi","Angola","Extinct"
"Kyakala","China","Extinct"
"Laghu","Solomon Islands","Extinct"
"Langthang Tibetan","Nepal","Definitely endangered"
"Lenca","El Salvador, Honduras","Extinct"
"Li-Ngbee","Democratic Republic of the Congo","Extinct"
"Liliali","Indonesia","Extinct"
"Lipan","United States of America","Extinct"
"Lishan Didan (Iran)","Iran (Islamic Republic of)","Extinct"
"Lishana Deni (Iraq)","Iraq","Extinct"
"Lishanid Noshan (Iraq)","Iraq","Extinct"
"Loke Tibetan","Nepal","Definitely endangered"
"Lorkoti","Kenya","Extinct"
"Lower Chehalis","United States of America","Extinct"
"Mahigi","Papua New Guinea","Extinct"
"Máku","Brazil","Extinct"
"Malin","Myanmar","Extinct"
"Mapia","Indonesia","Extinct"
"Maragus","Vanuatu","Extinct"
"Marrgu","Australia","Extinct"
"Matagalpa","Nicaragua","Extinct"
"Mator","Russian Federation","Extinct"
"Mattole","United States of America","Extinct"
"Miami-Illinois","United States of America","Extinct"
"Migueleño","United States of America","Extinct"
"Miraña (Brazil)","Brazil","Critically endangered"
"Mirití Tapuia","Brazil","Critically endangered"
"Mlahso (Syria)","Syrian Arab Republic","Extinct"
"Mlahso (Turkey)","Turkey","Extinct"
"Mo-peng","Sierra Leone","Extinct"
"Mochica","Peru","Extinct"
"Moksela","Indonesia","Extinct"
"Molala","United States of America","Extinct"
"Mozarabic","Spain","Extinct"
"Mulaha","Papua New Guinea","Extinct"
"Múra","Brazil","Extinct"
"Nagumi","Cameroon","Extinct"
"Naka'ela","Indonesia","Extinct"
"Napore","Uganda","Extinct"
"Natchez","United States of America","Extinct"
"New River Shasta","United States of America","Extinct"
"Ngarla","Australia","Extinct"
"Ngong","Cameroon","Extinct"
"Nila (Nila Island)","Indonesia","Extinct"
"Nisenan","United States of America","Extinct"
"Nooksack","United States of America","Extinct"
"Norn","United Kingdom of Great Britain and Northern Ireland","Extinct"
"Northeastern Pomo","United States of America","Extinct"
"Nukiní","Brazil","Extinct"
"Nupbikha","Bhutan","Vulnerable"
"Nyang'i","Uganda","Extinct"
"Obispeño","United States of America","Extinct"
