"Name in English","Countries","Degree of endangerment"
"Poqomam","Guatemala","Definitely endangered"
"Idu","China, India","Definitely endangered"
"Kari'ña (Venezuela)","Venezuela (Bolivarian Republic of)","Severely endangered"
"Machiguenga","Peru","Definitely endangered"
"Piaroa (Venezuela)","Venezuela (Bolivarian Republic of)","Vulnerable"
"Tuvaluan","Tuvalu","Definitely endangered"
"Waunana (Colombia)","Colombia","Vulnerable"
"Noon","Senegal","Vulnerable"
"Sampang","Nepal","Vulnerable"
"Central Alaskan Yupik (2)","United States of America","Vulnerable"
"Central Alaskan Yupik (Nuniak Island)","United States of America","Vulnerable"
"Bukiyip","Papua New Guinea","Vulnerable"
"Saparua","Indonesia","Definitely endangered"
"Darai","Nepal","Severely endangered"
"Bandial","Senegal","Vulnerable"
"Bongo","Sudan","Definitely endangered"
"Northwestern Tarahumara","Mexico","Vulnerable"
"Algherese Catalan","Italy","Definitely endangered"
"Aragonese","Spain","Definitely endangered"
"Baima","China","Vulnerable"
"Bukharic","Uzbekistan","Definitely endangered"
"Bunun","China","Vulnerable"
"Burunge","United Republic of Tanzania","Vulnerable"
"Chayahuita","Peru","Definitely endangered"
"Cherokee (Oklahoma)","United States of America","Definitely endangered"
"Dalecarlian","Sweden","Definitely endangered"
"Huitoto (Colombia, Peru)","Colombia, Peru","Definitely endangered"
"Hulaula (Israel)","Israel","Severely endangered"
"Karang","Chad","Vulnerable"
"Karelian (Tver)","Russian Federation","Definitely endangered"
"Karone","Senegal","Vulnerable"
"Kryz","Azerbaijan","Severely endangered"
"Kurripako (Colombia, Venezuela)","Colombia, Venezuela (Bolivarian Republic of)","Definitely endangered"
"Kurtöp","Bhutan","Vulnerable"
"Lamgang","India","Critically endangered"
"Miqie","China","Definitely endangered"
"Mojo","Bolivia (Plurinational State of)","Definitely endangered"
"Muot","India","Critically endangered"
"Naiki","India","Critically endangered"
"Ñandeva Guarani","Brazil","Vulnerable"
"Ngwaba","Nigeria","Severely endangered"
"North Frisian","Germany","Severely endangered"
"Northern Khanty","Russian Federation","Definitely endangered"
"Nyah Kur","Thailand","Definitely endangered"
"Nyenkha","Bhutan","Vulnerable"
"Orang Hulu","Malaysia","Definitely endangered"
"Otoro","Sudan","Severely endangered"
"Solon","China","Definitely endangered"
"Southern Tujia","China","Severely endangered"
"Taba","Indonesia","Vulnerable"
"Talu","China","Vulnerable"
"Tamazight (Tunisia)","Tunisia","Severely endangered"
"Tayal","China","Vulnerable"
"Temein","Sudan","Severely endangered"
"Temiar","Malaysia","Definitely endangered"
"Trukhmen","Russian Federation, Turkmenistan","Definitely endangered"
"Vidunda","United Republic of Tanzania","Vulnerable"
"Kogui","Colombia","Vulnerable"
"Paloor","Senegal","Vulnerable"
"Awakatek (Guatemala)","Guatemala","Vulnerable"
